//menu
"menu_accueil","LiveOptim"
"menu_tutoriel","Tutoriel"
"menu_motcle","Mots Clé"
"menu_pattern","Schéma Global"
"menu_patterncible","Schéma sur page cible"
"menu_baliseignorer","Restrictions"
"menu_config","Configuration"
"menu_pages_restreintes","Pages restreintes"

"all_expire","Vous utilisez une version bridée.<br /> 
Bénéficiez des effets de LiveOptim sans limite de mots-clés ou de paramétrage. Acheter dès maintenant votre licence et retrouvez votre configuration avancée !"
"all_non_inscrit","Vous ne pouvez utiliser le module sans être inscrit au préalable. Vous pouvez vous inscrire sur <a class='link_liveoptim' href='http://www.liveoptim.com' target='_blank'>le site de LiveOptim</a>"
"all_compte_test","Vous utilisez une version d'essai.<br />
Bénéficiez des effets de LiveOptim sur votre site sans limite de durée, achetez dès maintenant votre licence !"
"all_bouton_buy","<a class='btn_buy'  href='http://www.liveoptim.com/fr/paiement/choix-du-mode.html'>ACHETER</a>"
"all_bouton_MaJ","<a class='btn_MaJ' href='%s'>MISE A JOUR<br />DISPONIBLE</a>"
"accueil_accueil","Accueil"
"accueil_titre","Bienvenue sur votre console d'administration LiveOptim"
"accueil_contenu","

<p>Depuis cette interface,  vous pouvez paramétrer le fonctionnement de LiveOptim sur votre site :</p> 
<ul>
	<li>Expressions clés
		<ul>
			<li><a href='%s'>Ajout d'expressions</a>
			<p>Ajoutez ou modifiez votre liste d’expresions clés stratégiques et 
			les URL des pages cibles associées</p></li>
		</ul>
	</li>
	<li>Paramétrage :
		<ul>
			<li><a href='%s'>Schéma de balisage global</a>
				<p>Schéma de balisage appliqué par défaut<span class='lo_ps'>*</span> par la fonction sur les expressions clés présentes dans vos contenus&#44; et leur ordre d’apparition</p>
			</li>
			<li><a href='%s'>Schéma de balisage sur page cible</a><span class='txt_prenium'>(version premium)</span>
				<p>Modifiez le paramétrage des balises sur les expressions clés lorsqu’elles sont traitées sur leur(s) page(s) cible(s)</p>
			</li>
			<li><a href='%s'>Exceptions de traitement</a>
				<p>Balises au sein desquelles les contenus ne doivent pas être traités par la fonction<span class='lo_ps'>*</span></p>
			</li>
			<li><a href='%s'>Pages restreintes</a><span class='txt_prenium'>(version premium)</span>
				<p>Modifiez les pages au sein desquelles les contenus ne doivent pas être traitées par la fonction</p>
			</li>
		</ul>
	</li>
</ul>
<p class='txt_etoile'><i><span class='lo_ps'>*</span> Modification disponible dans la version prenium</i></p>"
"parametrage","Paramétrage"
"contact","Nous contacter"
"facebook","Rejoignez-nous"
"twitter","Besoin d'aide ?"
"twitter2","@liveoptim"
"inscription_message","Inscrivez votre site pour activer LiveOptim"
"accueil_erreur_pas_de_compte","Compte inactif."
"accueil_inscrivez_vous_ici","Inscription"
"accueil_copte_client_actif","Compte activé"
"accueil_compte_client_inactif","Compte non activé"
"accueil_mots_cles","Mots Clés"
"accueil_balise_ignores","Exceptions de traitement"
"accueil_pattern","Schéma de balisage global"
"accueil_pattern_cible","Schéma de balisage sur page cible"
"accueil_nouveau_mdp","Nouveau mot de passe"
"modifier","Modifier"



// connexion.php
"connexion_1","Acc&egrave;s administration"
"connexion_content","
Indiquez ci-dessous votre mot de passe de connexion &agrave; l'administration LiveOptim<sup>&copy;</sup>

"
"connexion_titre","Mot de passe :"
"connexion_connexion","Connexion"
"connexion_messageErreur_1","Mot de passe erron&eacute;"

// nouveauMdp.php
"nouveauMdp_titre","Bienvenue sur LiveOptim<sup>&copy;</sup>"
"nouveauMdp_content","
D&eacute;finissez le mot de passe qui vous servira &agrave; vous connecter 
&agrave; l&quot;administration du module, et conservez-le pr&eacute;cieusement. 	

"
"nouveauMdp_titre","Choix du mot de passe :"
"nouveauMdp_ancien_mdp","Ancien mot de passe :"
"nouveauMdp_nouveau_mdp","Mot de passe :"
"nouveauMdp_nouveau_mdp_2","Confirmation :"
"nouveauMdp_connexion","Enregistrer"
"nouveauMdp_messageErreur_1","Mots de passe invalides "


	
// accueil.php



	
// tutoriel.php
"tutoriel_titre","Tutoriel"
"COM_LIVEOPTIM_TUTO","<div ><img src='http://liveoptim.veille-mkt.com//img/layout/video.png' alt='' style='float:left; margin: 0px 20px 0px 20px;'><div style='padding-top:80px;'><p style='font-size:18px'>Laissez-vous guider par la vidéo tutoriel en 
<u><a href='http://www.youtube.com/mktvideolab' target='_blank'>cliquant ici</a></u></p></div></div>
<div><img src='http://liveoptim.veille-mkt.com//img/layout/book.png' alt='' style='float:left; margin: 0px 20px 0px 20px;'><div style='padding-top:80px; margin-top:70px;'><p style='font-size:18px'>Téléchargez le tutoriel complet du plugin Liveoptim pour Magento en 
<u><a href='http://www.liveoptim.com/docs/magento_tutoriel_fr.pdf' target='_blank'>cliquant ici</a></u></p></div></div>"

"tutoriel_contenu","
<p>T&eacute;l&eacute;chargez le tutoriel complet du plugin Liveoptim pour Magento en <u><a href='http://www.liveoptim.com/docs/magento_tutoriel_fr.pdf' target='_blank'>cliquant ici</a></u></p>

"



// listerBaliseIgnore.php

"listerBaliseIgnore_accueil","Accueil"
"hintPattern_config_Export","<div class="hint2">		<img  src='/skin/adminhtml/base/default/img/hint.png' alt='?'/>	<p>Exportez votre base de mots-clés/pages cible et vos paramètres avant toute désactivation du plugin ou mise à jour ! </p>		         	   			</div>"
"hintPattern_config_csv","<div class="hint2">		<img  src='/skin/adminhtml/base/default/img/hint.png' alt='?'/>		<p> Vous pouvez réaliser l’import de vos paramètres ; il vous suffit de choisir la table que vous souhaitez importer ou d’importer toutes les tables (soit 6 tables) en zip. 
</p> 	         	   			</div>"
"hintPattern_config_limite","<div class="hint2">		<img  src='/skin/adminhtml/base/default/img/hint.png' alt="?"/>			<p>Paramétrez une limite haute d'optimisations
       </p>            
       <h2>Conseils d'utilisation :</h2>           
        <ul>            
       <li>Par défaut, limite de 5 optimisation du même mot-clé dans une page<br />
       </li>
       <li>Nous vous conseillons de ne pas aller au-délà.</li>
       <li>
       Vous pouvez diminuer cette valeur si vous le souhaitez !/li>                
        </ul>             	   			</div>"
"hintPattern_config","<div class='hint2'>		<img  src='/skin/adminhtml/base/default/img/hint.png' alt='?'/>			<p>Activez / Désactivez la fonction via ce bouton
          </p>        	   			</div>	"
"listerBaliseIgnore_balises_ignores","Exceptions de traitement"
"listerBaliseIgnore_titre","Exceptions de traitement"
"listerBaliseIgnore_nom","Nom"
"listerBaliseIgnore_text1","<div style='margin-top:20px'>
<p><span style='font-size: 18px;font-weight:bold; color:#bf4122'>Bienvenue dans votre espace Optimisation :
Vous trouvez ici les balises sur lesquelles la fonction ne repassera pas !
</span></p>
<span style='font-size :18px; font-weight:bold'>
'Il s'agit d'un paramétrage avancé. Nous vous conseillons de laisser le paramétrage par défaut'<br/><br/>
</span>
</div>"
"listerBaliseIgnore_action","Action"
"listerBaliseIgnore_text","<div style='margin-top:20px'>
<p><span style='font-size: 18px;font-weight:bold; color:#bf4122'>Bienvenue dans votre espace Optimisation :
Personnalisez les pages traitées par LiveOptim !
</span></p>
<span style='font-size: 18px;font-weight:bold; '>
Ajoutez la page de votre site que vous ne souhaitez pas optimiser avec LiveOptim !
</span>


</div>"
"listerBaliseIgnore_confirmation_suppression","Etes-vous sur de vouloir supprimer cette restriction ?"
"listerBaliseIgnore_supprimer","Supprimer"
"listerBaliseIgnore_modifier","Modifier"
"listerBaliseIgnore_ajouter","Ajouter"
"hintBaliseIgnore","	<div class='hint2'><img  src='%s' alt='?'/>	<p>Indiquez ici les balises au sein desquelles le contenu ne doit pas être traité par LiveOptim</p></div>"

// layout.php, layoutConnexion.php, layoutNouveauMdp.php
"layout_title","Admin de Liveoptim"
"layout_deconnexion","Déconnexion"
"layout_liveoptim","Liveoptim"

// listerMotCle.php
"COM_LIVEOPTIM_BOUTON_RANKING","<a class='btn_rank'  href='#'  onclick='ajaxOuvrirFenetreNouveauRapport();'>Lance ranking</a>"
"COM_LIVEOPTIM_MS_APRES","Veuillez vous connecter sur <a  id='lien_so' href='http://www.statoptim.com/controleur.php?cible=identification&cible2=apercu-rapport&recherche=ranking&id_projet=' target='_blank' >Statoptim</a> pour voir les positions de votre site.Munissez-vous de vos accès (envoyés par mail à votre inscription)."
"COM_LIVEOPTIM_MS_AVANT","Veuillez patienter durant le ranking.(Ne pas fermer cette fenêtre)"
"listerMotCle_table_requete_text","<div style='margin-top:20px'><p><span style='font-size: 18px;font-weight:bold; color:#bf4122'>Bienvenue dans votre espace Optimisation :<br />Renseignez ici vos mots-clés et boostez ainsi votre trafic !</span></p><ol style='font-size:14px;'><li>Ajoutez un mot-clé dans 'Requête'</li><li>Associez lui une page de votre site</li>  <li>Cliquez sur 'ajouter', et ainsi de suite pour chaque mot-clé. </li></ol><em>(NB: Plus de conseils en cliquant sur <img class='hint' src='/skin/adminhtml/base/default/img/hint.png' alt='?'> à côté de chaque élément)</em><br><br></div>"
"hintMotCle","	<div class='hint2'><img  src='%s' alt='?'/>	<p>Renseignez les expressions clés stratégiques pour votre positionnement, 	la ou  les pages cibles associées et leur ordre de traitement (si vous définissez plusieurs pages cibles pour une même expression clé)</p>	<h2>Conseils d'utilisation :</h2>	<ul>	<li>Variez les pages Cibles en fonction de vos expressions clés.</li><li>Ne modifiez pas trop fréquemment les pages cibles d’une expression clé</li></ul>	   	</div>	   	"
"hintMotCle_position","<div class="hint2">		<img  src='/skin/adminhtml/base/default/img/hint.png' alt='?'/>			<p>Vous pouvez définir pour un même mot-clé plusieurs pages associées.<br/> La position sert uniquement dans ce cas là.</p><h2>Conseils d'utilisation :</h2>            <ul>            <li>Renseignez plusieurs URLs pour un même mot-clé afin de diversifier les pages cibles<br /></li>  <li>Les URLS de ces pages ont alors triées selon un ordre de priorité qui leur est attribué et<br/> que vous pouvez définir (via les flèches ou en renseignant une valeur).</li>             <li>La fonction fera alors un premier lien vers la première url&#44;<br/> et un second lien vers la seconde url&#44; pour le même contenu</li>      <li>NB : il ne s'agit pas de l'ordre des mots-clés mais celui des URLs.</li>         </ul>  	   			</div>
